1 1 0 10 0 12 17 6 0 3 0 3 7973234.373000
1 2 0 10 0 12 17 6 0 3 0 3 7973234.373000
1 3 0 0 16 11 18 3 0 5 0 5 6627727.312100
1 4 0 0 16 11 18 3 0 5 0 5 6627727.312100
1 5 4 3 22 12 12 2 4 0 0 0 5701028.893900
1 6 4 3 22 12 12 2 4 0 0 0 5701028.893900
1 7 4 3 22 12 12 2 4 0 0 0 5701028.893900
1 8 11 4 0 0 10 0 24 0 0 0 8281302.458100
1 9 11 4 0 0 10 0 24 0 0 0 8281302.458100
1 10 11 4 0 0 10 0 24 0 0 0 8281302.458100
1 11 11 0 8 3 21 0 0 2 0 2 10239876.938600
1 12 11 0 8 3 21 0 0 2 0 2 10239876.938600
1 13 0 6 0 2 8 0 14 6 22 6 5892923.374700
3 1 5 3 0 0 2 3 0 2 0 2 3568948.339800
3 2 2 0 0 22 0 0 0 0 4 0 3983543.607200
3 3 0 0 0 0 3 2 6 6 6 0 3528810.241500
3 4 0 4 0 16 2 0 0 0 3 0 3668022.557800
3 5 2 4 0 0 0 0 0 6 2 6 3127502.925600
3 6 0 0 0 0 12 2 0 0 5 0 4403182.491200
3 7 2 4 0 0 0 0 0 3 8 3 4153358.203200
3 8 0 0 0 4 10 3 0 0 3 0 4092117.889000
3 9 2 4 0 0 0 0 0 0 14 0 5179213.480800
3 10 5 0 0 8 2 0 2 4 0 2 3347084.074400
3 11 5 0 0 8 2 0 2 4 0 2 3347084.074400
3 12 5 0 0 8 2 0 2 2 4 0 4030987.592800
3 13 0 0 0 0 16 0 2 2 0 0 3607806.489000
3 14 0 0 0 0 16 0 2 2 0 0 3607806.489000
3 15 0 0 0 0 16 0 2 2 0 0 3607806.489000
7 1 18 18 22 26 11 13 3 21 19 18 21905229.828600
7 2 14 14 22 36 14 18 6 23 9 17 20328944.038200
8 1 12 19 28 22 9 10 22 14 22 14 21835050.899100
8 2 19 15 0 22 15 18 24 16 12 16 26064537.013300
